Date,AAPL,GOOGL,AMZN,NVDA,PFE,PG,AXP,JPM,BAC,JNJ,MKT_RF,SMB,HML,RMW,CMA,RF
2016-11-30,-0.008433221304283034,-0.017176865640552652,-0.01567171630962705,-0.01126034076391147,0.006891960053510671,-0.005187723796742594,0.00769361658571599,0.015838832509486256,0.044768552124379024,-0.010490711682349607,4.86,7.07,8.21,-0.18,3.69,0.01
2016-12-31,0.04744808246142396,0.021985052807027783,0.00029709385733223126,0.15846428668624268,0.01163003280981656,0.019891221170492912,0.028776162022178586,0.0744782854611652,0.047424458032761185,0.035143998412972,1.82,0.41,3.53,1.22,-0.24,0.03
2017-01-31,0.04695572077436416,0.035474866280781,0.09485106514036867,0.026816290014689215,-0.022577265413916914,0.049830662437771345,0.035703667271179906,-0.01256842834635663,0.026612528232352717,-0.0166267933516987,1.94,-1.45,-2.75,-0.5,-0.99,0.04
2017-02-28,0.12765273965888424,0.02988830696878131,0.026916566592872004,-0.06260279012617487,0.08334499681131591,0.03967908961204192,0.04736640830443262,0.06938095586173887,0.08801272037553576,0.08322046913006731,3.57,-2.22,-1.67,0.47,-1.83,0.04
2017-03-31,0.04828502559756698,0.003961540064426949,0.048552692258839625,0.07397847794074841,0.0029687932302880915,-0.0133188918716729,-0.010918792633813235,-0.029622647301196348,-0.038781121453740464,0.019394527511050308,0.17,0.74,-3.35,0.61,-0.94,0.03
2017-04-30,0.00024422655805345084,0.08790443384952118,0.04325726824701581,-0.03888891243247805,-0.008426456144219552,-0.020294114604725633,0.007999425281930428,-0.002602859708150107,-0.008849555429822242,-0.008063277360177867,1.09,0.48,-2.13,1.9,-1.6,0.05
2017-05-31,0.06725900058921808,0.06628386134877362,0.07376076648345797,0.3477465019220003,-0.02807573374616079,0.008816868718633186,-0.029079634828457546,-0.056002463315917406,-0.034809373093871,0.0451391768768854,1.06,-3.06,-3.78,0.95,-1.79,0.06
2017-06-30,-0.05667089797652758,-0.05800715671874379,-0.02536100401475616,0.010048533971311668,0.02921643884219194,-0.01038841443207128,0.09115018265520414,0.10786209668089253,0.08140532962145708,0.03136740124968895,0.78,2.58,1.48,-2.22,0.0,0.06
2017-07-31,0.03280252220091151,0.01808331215441783,0.02203663505621234,0.12190205127059661,-0.012595683796363777,0.04947383201154021,0.01597788400586586,0.010501058542940811,-0.004751884498801151,0.003911237900026121,1.87,-1.69,-0.31,-0.67,-0.2,0.07
2017-08-31,0.10424349902051344,0.011142830142357396,-0.006043805659950663,0.05006800280088608,0.03291768639621484,0.015992365533255892,0.010674692262048202,-0.00930384091699843,-0.002608068086822568,0.004107773441588969,0.16,-1.83,-2.1,0.15,-2.38,0.09
2017-09-30,-0.061019905967484744,0.01990307122880719,-0.018850857852787728,0.05933779999342481,0.052182568058870116,-0.013524978929162268,0.04998845374767269,0.05067483004666207,0.06087520255080203,-0.017277849559295455,2.51,4.77,3.12,-1.5,1.71,0.09
2017-10-31,0.09404411957609293,0.06072584382697932,0.1482108324715149,0.14763340353657917,-0.017618306720375787,-0.04387350894712494,0.058973320377518235,0.05870035509287541,0.07905897099613801,0.07098302198622253,2.25,-1.94,0.19,0.91,-3.26,0.09
2017-11-30,0.021484226506109372,0.003952731051900749,0.06404237914261202,-0.024033388485337426,0.04298277674666984,0.04180607687501159,0.023262247783334078,0.03947732140547733,0.034105808390646475,0.005844119006181425,3.12,-0.32,-0.03,3.19,-0.06,0.08
2017-12-31,-0.014502996723784634,0.017077884524067777,-0.00542455047439705,-0.03283817551386181,-0.0004779977847426675,0.02110538908338122,0.01670646435794998,0.023793461462645604,0.04803069223573453,0.003111222619402332,1.06,-1.06,0.06,0.75,1.7,0.09
2018-01-31,-0.009661121358597424,0.11630140906504838,0.21766571818266556,0.2441385189492551,0.024497600482239368,-0.05359619534285609,0.005079797577135392,0.08431167791830041,0.08129398975827784,-0.009070310832229422,5.57,-3.17,-1.28,-0.75,-0.91,0.12
2018-02-28,0.07075564441257609,-0.062418734179767066,0.04680519365745173,-0.0031847246079912406,-0.0072062450662647715,-0.09254145682441872,-0.0131192360870932,0.002623869668016754,0.007613868742887275,-0.05219253033059679,-3.65,0.32,-1.04,0.48,-2.28,0.11
2018-03-31,-0.0569630988639358,-0.05748824908231709,-0.039563840251849336,-0.03421702735828802,-0.021406541671332047,0.01042677094888611,-0.04188114521190567,-0.04610999570132901,-0.06015519176289141,-0.01125232145095778,-2.35,3.6,-0.2,-0.42,-0.02,0.11
2018-04-30,-0.012498913343769291,-0.014925587811966401,0.08544532583869113,-0.02272410319667839,0.032028429346762866,-0.08111409312722884,0.06524090822924744,-0.0036125791423453624,-3.72348833591607e-05,-0.0112313338423089,0.29,0.93,0.54,-2.44,1.28,0.14
2018-05-31,0.12905894798964768,0.0788689898669579,0.040304790250060174,0.11862913763581573,-0.008064324902681608,0.012345699680721856,-0.0034294747927414715,-0.01427115795069167,-0.02361720652490651,-0.04736927383820533,2.65,4.75,-3.22,-2.05,-1.53,0.14
2018-06-30,-0.008702474686690387,0.027830642673874695,0.04383008191392934,-0.05904588238499742,0.009929998717272293,0.06575706073320264,-0.002325491159138271,-0.025574813423000498,-0.02843488338058331,0.014782728729687777,0.48,0.8,-2.33,0.8,0.2,0.14
2018-07-31,0.028550858831459358,0.08588525132325864,0.04648588793056896,0.03561888774770361,0.09688230748327364,0.04537619474078203,0.020576722504716205,0.10570260166276801,0.09361088131176998,0.08987649083948857,3.19,-1.93,0.45,1.55,0.35,0.16
2018-08-31,0.1855361865145544,0.004793115802017245,0.12584669661263614,0.140544673604571,0.04852078060727627,0.025760114583194382,0.06347569232229477,-0.0026225777387830496,0.0024922816618999644,0.02353815031247719,3.44,0.65,-4.0,-0.31,-2.7,0.16
2018-09-30,-0.00648510306237482,-0.019181712109493043,-0.002651471394499616,0.0038700026035026758,0.060017698478699755,0.004055352281909896,0.005464384784373166,-0.014432414648618885,-0.04293226021607044,0.026097669708171956,0.06,-2.49,-1.71,0.63,1.29,0.15
